	L2_ACTTGA	L2_ATCACG	L2_CAGATC	L2_CGATGT	L2_CTTGTA	L2_GATCAG	L2_GCCAAT	L2_GGCTAC	L2_TAGCTT	L2_TGACCA	L2_TTAGGC	L3_ACAGTG	L3_ACTTGA	L3_CAGATC	L3_CGATGT	L3_CTTGTA	L3_GATCAG	L3_GCCAAT	L3_GGCTAC	L3_TAGCTT	L3_TGACCA	L3_TTAGGC	L6_ACAGTG	L6_ACTTGA	L6_ATCACG	L6_CAGATC	L6_CGATGT	L6_CTTGTA	L6_GATCAG	L6_GCCAAT	L6_GGCTAC	L6_TAGCTT	L6_TGACCA	L6_TTAGGC
CD8+ Tcm	216.228936611086	751.674016981374	272.167664183976	235.902844030247	217.675409320452	657.085198457773	763.34532941856	353.519091719849	819.600392833299	431.478202019586	115.056978481553	264.079491770916	116.368724386791	619.23294659816	720.242253790246	627.500226607686	531.768151458121	426.198020783766	608.416307268839	467.284903657208	55.9822391979943	385.431119977981	739.896964712049	272.67862841046	239.218929936844	197.380255645371	216.590580872427	749.104686212996	283.020541289097	367.026530557267	743.115932664733	597.291405468645	448.561614301719	297.175591416595
CD8+ Tem	172.785626417849	791.52732435623	393.554407133307	265.910900100378	8.31118868424429	121.832449791897	763.09481614968	136.753046169702	778.706461020679	345.874915062857	370.961561958426	427.192520731624	427.607869075126	225.71517962127	727.223399871829	625.151623335112	580.707113497755	386.07848663601	506.484628289545	517.855558415511	227.284466331978	419.587227504869	783.524147838111	379.002731496884	97.3614422993084	284.530997331251	54.0590059170189	814.795564384219	346.754246782271	504.985637631961	258.748773063797	289.240013147408	500.263886409372	282.191637166422
CD8+ naive T-cells	257.696734053704	433.729753084765	315.870469257117	282.048359180982	701.433960508192	375.483538834334	419.59761239899	403.606641858108	391.999487373144	230.352668158744	142.582772715352	158.27674606984	79.2970515578143	359.625344128168	292.920003447186	101.163896125517	252.97455762174	251.713484444738	22.2242533490895	321.230867025107	135.82093956823	301.691957389745	521.487393460063	300.549709857444	230.077678616076	230.161926810714	612.077406458003	428.971727860922	159.721144293038	325.706879506074	423.786284536091	284.169747869723	244.466682866262	101.386783987766
CLP	303.121029278721	414.377072758644	162.739321747967	397.956167010656	499.798532020447	357.887051816866	326.720914609051	210.453244770572	524.936040164781	187.55173351877	48.3642449868634	219.748362695692	338.300739667126	363.296975698647	290.760141520444	73.8649312309165	280.173558089645	277.958321343337	325.145479754807	287.738767556062	237.182845395799	122.143392700991	306.285217322052	24.4292232226226	341.631941138911	152.992910497599	273.582619206871	455.881669862716	197.252519148783	203.693265198705	381.93812640374	211.907449467056	97.2187862998571	227.762733404846
CMP	978.223112796225	419.050268395267	658.649377255513	993.385156344953	167.473405116278	484.713262294151	316.441714148533	415.899374254295	177.312687461148	631.404501098218	230.179108027077	132.035858080699	613.56297020837	372.832851824216	285.876587028362	612.461030221233	413.455689995915	168.903362478514	335.681569582682	649.49683607564	1047.10125574259	523.178938898255	436.769590944553	617.268779604542	284.58604865535	901.217068081523	285.500484185816	284.674551052412	260.435838613844	594.911471359106	485.373534279441	436.095894078575	570.730319394823	693.156280467887
Chondrocytes	214.92615212352	311.19267949642	235.280428644239	392.401592915219	215.653175000631	188.226447842102	313.430752229202	187.138525113057	209.100933217624	221.375636798521	146.866168513088	305.354610361175	213.177672461985	146.487051915155	232.011539121298	258.010249555498	242.959425679266	213.572201784866	180.169578459856	315.810612398962	293.690407141611	173.95438149616	193.001058929258	333.964622216896	145.170224782998	291.170997987579	267.841791761199	303.684155586623	243.629971837611	169.28415719712	212.625173569372	193.876470956493	305.355926959346	311.088117013793
Class-switched memory B-cells	275.915682694192	454.207486650152	499.317136010313	289.279087163868	1045.71292700262	1131.80536740915	291.714858605904	1065.9249946066	1576.6089446833	413.536393672215	666.473251593503	537.735612791604	205.47200094168	826.663845825102	272.426051762466	261.99086141407	88.4286312883974	467.254649731049	539.22134379589	427.928495220032	210.51487594635	359.84747421447	395.920342011657	241.664468555589	934.614709298198	348.777750749101	1147.02752901463	1541.95313628486	512.767583620657	409.051100363271	1200.23113086003	1035.76129982986	313.69193382552	396.424681676505
DC	532.492770567826	909.893708307852	147.324713587971	306.451145664787	517.988033616417	876.544073429985	369.275128133656	1041.97997556921	568.868525693505	705.095650087306	1034.04799507031	520.43884182422	856.873351614136	891.882816236148	650.726581462705	797.634502852432	672.549814782718	754.222130611137	953.382768290684	1217.43696227834	513.096951172563	559.753123898234	633.510388560026	773.836782308028	1313.32982311177	705.90577113447	580.839266750398	711.03787671804	912.18386220511	640.40053895133	692.620155203635	146.545449584873	692.050109614922	652.089074468576
Endothelial cells	239.251122208192	265.172041440179	535.198175994748	312.673141013444	328.346918750713	193.513306617828	208.741410166239	276.02605570454	159.246013307097	312.421616914761	470.755097491631	484.929675228709	389.421299908922	221.716904309479	376.870849988929	306.768580217391	430.313427534327	587.537247440931	440.812801186625	603.598211124955	453.895971120422	482.305472769893	88.1593225948606	433.003605677936	317.412981673376	463.991418508934	124.243873820341	80.2323120368315	458.062180742315	496.736039679629	181.905881340345	189.888395952876	163.274943631473	366.621748155183
Eosinophils	1198.69851160162	519.50366593123	1138.02358298377	948.200497843178	438.869115727916	632.0166565987	578.780801287868	1104.37694018397	28.2523444251133	1142.13602661476	573.13880669932	487.313147799467	900.787765539574	646.439862487213	438.93104727117	876.036614284085	890.769313874716	545.355914474234	915.665439773295	1582.83922566792	1170.06783842517	1197.23259583152	581.42507978651	1110.17947116862	1018.58710666829	1088.93693568252	441.428938768132	65.6582382344976	720.642918832716	1154.87199011715	765.964411371487	661.12976670322	1074.28332922333	1140.24498277764
Epithelial cells	714.190215434473	615.591711523581	880.137286296345	598.528063098639	521.278497661585	320.934851364263	620.094877530042	630.01820375179	78.5319766787631	868.382069969455	785.715968658182	852.609573158269	589.995185431429	449.186970065837	562.118516913846	819.752865557262	797.023151721205	748.362711636081	839.058041619362	583.972492103363	747.906061269931	919.722506354854	446.055082457749	701.30578749607	540.011442988118	788.451149015397	571.85212060217	41.4217334482489	475.494816755577	1129.03766974173	405.219216936515	459.104105365485	988.577143330631	632.924233113265
Erythrocytes	1015.9903089247	756.358429692244	1129.98200000627	1012.37919035364	1611.12338740539	168.204685252862	794.320530252945	969.19161103613	1031.71258263775	1036.21384457385	926.838495346061	828.015642372182	885.401535033656	173.666190081155	767.811339975497	1091.95529515841	807.89458010409	689.168604263529	671.913214893644	1488.1545585994	1076.93950922934	1113.72268538701	706.493246150947	1003.058941825	843.462822938053	1070.02143554256	1535.33534376525	1094.08823469969	563.32430645214	1038.02490086816	21.3761449872655	304.253424397129	877.22480253786	875.095722636416
Fibroblasts	250.905008417862	170.115986853582	195.966624182187	259.983757774243	228.783844553021	278.256035859263	239.346802220701	227.018595369955	281.717937642388	237.206192087475	123.136800654708	153.118276487661	259.69167618303	210.935806118079	176.493536828299	131.714978167738	155.951235084618	197.493376971159	129.083479144992	184.540874934034	183.285227855728	175.676372595456	239.640531488543	145.214801969533	218.003072433128	232.363779037184	272.134734246484	224.291170518349	198.031958390288	152.420499116246	269.30065732049	211.204916266025	118.152768328199	195.877162594312
GMP	1074.48072791223	481.249282313714	582.578340518003	903.767202912346	349.429854372208	529.375150648442	570.354598822536	604.167955879885	257.022428303328	655.444131579664	131.140539510976	260.361889102726	606.618511363299	502.341430870261	457.180184638932	646.871511091145	424.767406105722	286.463055270112	282.842381144974	817.092106903875	1076.56092159092	690.108422355682	420.573587436487	389.011131092599	410.568013631021	877.602111161349	318.137055405196	239.278784531626	278.578440551295	532.544133258503	539.327031619858	479.700112412004	371.421804795926	537.861280901838
HSC	534.587950183325	414.658619753218	420.777904872358	578.058507326933	311.292314877731	379.17202785267	314.517990081728	332.169373022959	287.403697388863	288.128266500867	339.24899665463	382.584600403284	509.244368199166	314.340439887144	468.589367080212	346.84594008135	470.060071378507	375.096297770317	166.862313322175	513.946449599222	481.815985760297	574.743165186872	223.695602277441	605.730326540495	590.993913705964	633.253674995279	321.739704193221	352.430557874389	370.500580068261	504.426891151702	362.750581276379	302.933583966421	268.19323905963	480.218799460986
Hepatocytes	265.212243985438	133.80396381822	314.224514297159	274.859001666742	203.083171209779	181.066436272536	163.252410758669	213.448495501648	140.027653345917	335.141879057012	400.400394081942	332.217517535884	260.775438840345	225.364248108187	184.392383964219	368.638567217076	304.936361074193	296.196233862924	420.088693399348	218.349420703424	289.85204794606	333.566331892461	150.037476923647	317.319905377278	229.898377207061	313.983167202849	152.177476489116	26.1706040719259	233.394469294068	317.619025265316	155.805443490764	279.463108368228	294.769314947945	267.182716218651
Keratinocytes	527.205772877909	421.909622667165	610.884451235883	503.58278649995	350.421431266502	348.359457971813	473.736198053634	541.544904191562	19.4346131268145	546.560150199092	615.712759453871	604.948350238058	522.634935227868	534.736487791504	618.468625196754	684.857576018632	617.394228309164	619.59484049408	715.118154344051	535.944429252406	594.636628790044	643.413500037818	388.842674821219	747.926429000596	474.577034766972	637.338665480634	319.208859977418	83.8416422437214	825.588297688416	797.21589216859	478.519823193646	379.022612882236	644.475520861488	653.371867471901
